id,funcname,4,6,16,24,36,48,52,64,84,96
0,external_el_,58668854,51317874,40505901,62960236,57594129,50034856,38417825,38802108,40687837,60876025
1,bcond2_ua_,119523682,107442793,83025404,137984489,102289927,97687092,76974692,86216295,72855743,71960402
2,MPI_Bcast,6534435,14006669,24530449,54008506,38075242,59363608,56690536,48210973,79855393,65135545
3,MPI_Type_commit,7158187,7548115,8153343,10733093,12197628,12760055,13959609,15291989,18087799,21825857
4,bcond6_,752437325,563026156,295273538,289366387,282599096,201764691,215072147,186452116,171966711,164845254
5,bcond3_u_,146682019,112599924,64620289,64155480,62168456,44205124,45723226,39298594,38338685,36693707
6,baropg_,2369572393,1626024506,692203015,561490922,423688733,349215449,351932094,298310513,263863514,292284445
7,MPI_Comm_free,968288,398370,519197,1511057,454531,252874,322414,361510,296227,222271
8,external_va_,168648037,149143528,116737660,135997104,152741437,127884695,113197067,132845968,103421846,160019446
9,__libc_start_main,-44838653300,-35310056653,-18063818047,-16542680864,-15386289132,-12757376699,-12568348844,-11783669854,-11296539361,-11736512877
10,internal_update_,12484237,8798179,4458664,3973799,3542209,3301619,3281369,3205267,3623560,2962829
11,init_fields_,50893,51820,50162,51692,51760,53081,53096,50449,53132,50894
12,dens_,778634247,604223708,371661998,453141797,393202400,311511089,342196693,360635307,305151108,279861822
13,MPI_Type_free,200995,249093,346597,445406,609592,705270,751655,889799,1180968,1436932
14,internal_v_,2568052543,1751840498,745130867,580887089,440845663,339117263,331574775,270649418,247421330,262687279
15,MPI_Type_size,102623,104699,107398,79712,72903,60536,63658,59584,60355,56845
16,MPI_Waitall,395161465,612777153,82029024,90452285,259103781,68769977,101939064,59455550,70193223,97848349
17,mpi_get_processor_name_,1162,1561,975,1046,1086,922,1284,1021,1174,999
18,surface_forcing_,21254415,16066318,10266385,8845504,8213882,7705120,7705823,7217331,7152382,7051202
19,MPI_Get_processor_name,3354,3570,3747,3488,3918,3381,3358,3889,3633,3033
20,MPI_Init,2023594895,2022082624,2021917979,2029477287,2050519218,2039148015,2020585208,2054140934,2035063377,2032343578
21,internal_t_,6577948330,4463282654,1760085009,1418173111,1022911580,824653901,719914417,595478020,522617207,488569368
22,__config_MOD_loadconfig,4179697,5062925,14231157,5396258,5793229,10038238,6052205,5882753,5742043,6143454
23,mpi_comm_rank_,1253,1660,1055,1216,1220,1184,1263,1293,1179,1229
24,get_time_,8546,8610,7340,8007,8355,8529,8110,7595,7929,7778
25,external_update_,325059734,289032304,231494223,290951199,306840731,256238302,214710385,253807089,213950066,272456417
26,bcond1_,40575406,57906360,34729420,42437893,38049429,31490842,32972641,32853041,31339536,33688563
27,read_init_,6069118796,7081623209,4326509056,4041915933,3910268303,3676704284,3649305779,3609887904,3572666308,3803517734
28,main,18714,19247,19147,18582,21124,18767,19349,19880,18860,20544
29,bcond2_va_,69904689,52825627,33191044,28706137,25670762,25490758,24596202,23834859,22838918,22562207
30,adjust_ufvf_,696686592,485912499,198919397,165643213,124824114,102197458,95150915,92888058,78084453,73976338
31,lateral_bc_,6240,5881,6521,5182,5100,5325,4477,5201,4983,5704
32,MPI_Comm_dup,3758314,5114485,7235247,8117084,8953842,9740554,10039529,12118312,12441886,13485014
33,update_initial_,279345615,211157050,147359884,184459780,172717565,126501422,153831699,123112569,127109704,150234788
34,external_ua_,158824493,147611001,118627550,160080782,149270312,142364116,107972486,139873432,103763054,132682091
35,bcond3_v_,117112793,94415652,55480590,57406336,50833961,41430343,43208576,36945687,38110105,50041254
36,bottom_friction_,28113048,25753309,24513220,30785402,28863062,23912330,23888681,23980526,24051119,23620839
37,MPI_Recv,1234843321,891864724,251783206,303483780,792150679,138986551,239069101,170345942,198915492,164849001
38,MPI_Barrier,54364777,335474214,71654605,135184674,283310097,237963628,232824116,228892317,295216208,280884733
39,advave_,148860281,141043539,142660235,208938679,172813086,160718665,136159092,186423613,135532443,177713724
40,mpi_comm_size_,471,494,380,348,511,368,402,356,371,388
41,MPI_Send,253760,548219,261233,450784,249552,249059,246444,310814,283822,252369
42,bcond4_,1777282067,1291595340,649377937,553524021,475546836,369262780,365483802,334569040,335633425,376755619
43,MPI_Isend,8566779,8913847,9745008,10585250,10478518,11229915,12436034,12048949,14101247,15650669
44,mpi_barrier_,30819,37254,67650,39881,37148,32990,34033,33743,34444,33495
45,__variables_MOD_init_variables,105797034,68474460,26385136,18757375,13449484,13185296,16758550,14779743,11945202,10070624
46,internal_w_,1212340749,809292475,332031311,252699108,221560625,171408821,142021408,131235719,106310301,100215495
47,internal_q_,10692841590,7065704050,3123376722,2410830545,1871959258,1487479494,1359965443,1129573895,1053360375,964101585
